Designator,Footprint,Quantity,Value,LCSC Part #,Comment
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,LiPo_Cell,C173752,
"C1, C11, C13",603,3,1uF,C29936,
"C10, C14, C24, C5, C7",603,5,10uF,C96446,
"C12, C2, C30, C4, C8, C9",603,6,100nF,C14663,
"C15, C16, C17, C18, C22, C23, C26, C28, C29, C3",805,10,4.7uF,C1779,
C19,805,1,10uF,C3039694,
"C21, C25, C27",805,3,1uF,C28323,
"D2, D3, D4",D_SOD-123,3,MBR0530,C82046,
D5,D_SOD-323,1,NSR0240,C152519,"ordered PMEG4005EJ,115 C426868 (because of long lead time)"
J2,Mirrored_Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,E-Ink_Display_connector_01x24_Socket,C2856831,
J3,XUNPU FPC-05FB-6PH20_1x06-1MP_P0.50mm_Horizontal,1,EInk_Front_Light_Conn_01x06_Socket,C2856827,
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,C114218,
L1,L_Panasonic_PCC-M0540M,1,47uH,C520357,
L2,L_Changjiang_FXL0420,1,10uH,C520308,
Q1,SOT-23-6_Handsoldering,1,FS8205A_DUAL_MOSFET,C2830320,
Q2,SOT-323_SC-70,1,Si1308EDL,C469327,
R1,603,1,12k,C114659,
"R10, R11, R18, R19, R20, R21, R23, R4",603,8,10k,C98220,
"R12, R13, R24, R25",603,4,100k,C14675,
"R14, R5",603,2,470R,C114669,
"R15, R9",603,2,2k,C22975,
R16,603,1,1M,C105578,
R17,805,1,2.2R,C2907006,
"R2, R27, R28",603,3,20R,C125758,
R22,603,1,10R,C109318,
R26,603,1,330R,C105881,
R3,603,1,5.6k,C114627,
R6,603,1,2.2k,C113303,
"R7, R8",603,2,5.1k,C105580,
S1,SW_EVQ-P7C01P,1,EN_Push,C388883,
S2,SW_EVQ-P7C01P,1,Power,C139797,
SW2,SW_SKRPACE010,1,Back,C139797,
SW3,SW_SKRPACE010,1,Confirm,C139797,
SW4,SW_SKRPACE010,1,Left,C139797,
SW6,SW_SKRPACE010,1,Right,C139797,
SW7,SW_SPDT_CK_JS102011SAQN,1,SW_SPST,C49023765,
U1,SOT-23-5,1,MCP73831-2-OT,C424093,
U2,SOT-23-6,1,USBLC6-2SC6,C7519,
U3,SOT-23-6,1,DW01A,C2927799,
U4,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560,
U5,SOT-23-5,1,ME6211C33M5,C82942,
U6,SOT-353_SC-70-5,1,TPS61169DCKR,C71045,
,,,,,
,,81,,,
