Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Batt,
"C1, C11, C13",0603,3,1uF,
"C10, C14, C24, C5, C6, C7",0603,6,10uF,
"C12, C2, C30, C4, C8, C9",0603,6,100nF,
"C15, C16, C17, C18, C22, C23, C26, C28, C29, C3",0805,10,4.7uF,
C19,0805,1,10uF,
"C20, C31, C32",0805,3,100nF,
"C21, C25, C27",0805,3,1uF,
D1,0805,1,CHRG_STAT,
"D2, D3, D4",D_SOD-123,3,MBR0530,
D5,D_SOD-323_HandSoldering,1,NSR0240,
FRONTLIGHT,SW_SPDT_CK_JS102011SAQN,1,EPD_FL,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB,
J2,Mirrored_Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,1,E-Ink_Display_connector_01x24_Socket,
J3,XUNPU FPC-05FB-6PH20_1x06-1MP_P0.50mm_Horizontal,1,EInk_Front_Light_Conn_01x06_Socket,
J4,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card,
L1,L_Panasonic_PCC-M0540M,1,47uH,
L2,L_Changjiang_FXL0420,1,10uH,
Q1,SOT-23-6_Handsoldering,1,FS8205A_DUAL_MOSFET,
Q2,SOT-323_SC-70,1,Si1308EDL,
R1,0603,1,12k,
"R10, R11, R18, R19, R20, R21, R23, R4",0603,8,10k,
"R12, R13, R24, R25",0603,4,100k,
"R14, R5",0603,2,470R,
R15,0603,1,2.7k,
R16,0603,1,1M,
R17,0805,1,2.2R,
R22,0603,1,10R,
R26,0603,1,330R,
"R27, R28",0603,2,20R,
R3,0603,1,5.6k,
R6,0603,1,2.2k,
"R7, R8",0603,2,5.1k,
R9,0603,1,2.5k,
S1,SW_EVQ-P7C01P,1,EN_Push,
S2,SW_EVQ-P7C01P,1,Power,
SW2,SW_SKRPACE010,1,Back,
SW3,SW_SKRPACE010,1,Confirm,
SW4,SW_SKRPACE010,1,Left,
SW6,SW_SKRPACE010,1,Right,
TP1,TestPoint_Pad_D1.5mm,1,BATT,
TP2,TestPoint_Pad_D1.5mm,1,3V3,
TP3,TestPoint_Pad_D1.5mm,1,VBUS,
TP4,TestPoint_Pad_D1.5mm,1,VGL,
TP5,TestPoint_Pad_D1.5mm,1,VGH,
TP6,TestPoint_Pad_D1.5mm,1,BAT_Measure,
TP7,TestPoint_Pad_D1.5mm,1,LED,
U1,SOT-23-5,1,MCP73831-2-OT,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-23-6,1,DW01A,
U4,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U5,SOT-23-5,1,ME6211C33M5,
U6,SOT-353_SC-70-5,1,TPS61169DCKR,
