Designator,Mid X,Mid Y,Rotation,Layer
BT1,159.2,-57.45,0.0,top
C1,170.1,-60.4,180.0,top
C10,164.67,-81.674,270.0,top
C11,166.28,-81.6815,270.0,top
C12,173.72,-82.44,270.0,top
C13,175.32,-82.44,270.0,top
C14,176.94,-82.44,270.0,top
C15,160.9675,-91.66,0.0,top
C16,170.95,-96.77,90.0,top
C17,165.97,-93.33,180.0,top
C18,200.87,-99.15,0.0,top
C19,185.85,-108.7375,90.0,top
C2,162.0787,-75.1278,0.0,top
C20,183.7,-108.7375,90.0,top
C21,181.65,-108.7375,270.0,top
C22,177.45,-108.7375,270.0,top
C23,173.25,-108.7375,270.0,top
C24,171.4884,-125.9208,0.0,top
C25,179.55,-108.7375,270.0,top
C26,201.45,-108.15,90.0,top
C27,171.15,-108.7375,270.0,top
C28,175.35,-108.7375,270.0,top
C29,187.87,-108.7375,270.0,top
C3,162.1387,-73.3978,0.0,top
C30,171.4884,-127.4508,0.0,top
C31,198.13,-108.16,90.0,top
C32,166.01,-102.42,0.0,top
C4,201.825,-57.1125,90.0,top
C5,199.975,-57.1125,90.0,top
C6,154.7244,-59.068,90.0,top
C7,170.1,-58.9,180.0,top
C8,170.1,-57.39,180.0,top
C9,167.88,-81.6815,270.0,top
D1,151.6256,-63.605,90.0,top
D2,165.5,-100.27,180.0,top
D3,165.5125,-97.89,0.0,top
D4,165.35,-95.51,180.0,top
D5,203.53,-107.51,90.0,top
FRONTLIGHT,208.6,-83.975,90.0,top
J1,208.805,-61.82,90.0,top
J2,180.5,-115.5576,0.0,top
J3,199.75,-116.0,0.0,top
J4,158.9,-127.9,270.0,top
L1,158.8725,-97.8775,270.0,top
L2,199.84,-103.13,270.0,top
Q1,157.9756,-66.434,270.0,top
Q2,162.44,-103.59,90.0,top
R1,194.25,-143.07,270.0,top
R10,155.7075,-81.01,0.0,top
R11,163.98,-142.91,90.0,top
R12,200.5075,-70.45,180.0,top
R13,200.49,-72.05,0.0,top
R14,162.954,-62.4716,90.0,top
R15,161.3792,-62.4716,270.0,top
R16,162.7425,-107.49,0.0,top
R17,165.57,-106.1,270.0,top
R18,184.96,-99.35,90.0,top
R19,188.14,-99.35,90.0,top
R20,171.4884,-123.9904,180.0,top
R21,186.52,-99.35,90.0,top
R22,205.69,-105.895,270.0,top
R23,171.4884,-129.426,180.0,top
R24,171.4884,-122.4664,180.0,top
R25,171.4884,-130.8992,180.0,top
R26,205.46,-96.99,270.0,top
R27,170.1,-66.31,0.0,top
R28,190.725,-72.45,90.0,top
R3,180.3,-142.9,270.0,top
R4,170.09,-61.94,180.0,top
R5,152.33,-67.69,0.0,top
R6,209.27,-142.44,270.0,top
R7,200.5325,-68.22,180.0,top
R8,200.5325,-66.54,180.0,top
R9,165.9296,-70.1678,90.0,top
S1,152.125,-114.0,270.0,top
S2,152.175,-75.0,270.0,top
SW2,189.0,-143.0,0.0,bottom
SW3,174.0,-143.0,0.0,bottom
SW4,204.0,-143.0,0.0,bottom
SW6,159.0,-143.0,0.0,bottom
U1,161.8212,-70.3147,90.0,top
U2,201.17,-61.6725,270.0,top
U3,158.0006,-61.4556,270.0,top
U4,181.5,-63.3,0.0,top
U5,170.7875,-82.53,180.0,top
U6,204.8,-102.1925,270.0,top
